url,name,total_time,rating_value,rating_count,calories,fat_g,sat_fat_g,sugar_g,fiber_g,cholesterol_mg,sodium_mg,carbs_g,protein_g,ingredients
www.loveandlemons.com/brownies-recipe/,Best Homemade Brownies,45m,4.83,7937,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1 1/2 cups granulated sugar*; 3/4 cup all-purpose flour; 2/3 cup cocoa powder (sifted if lumpy); 1/2 cup powdered sugar (sifted if lumpy); 1/2 cup dark chocolate chips; 3/4 teaspoons sea salt; 2  large eggs; 1/2 cup canola oil or extra-virgin olive oil**; 2 tablespoons water; 1/2 teaspoon vanilla
www.loveandlemons.com/butternut-squash-soup/,Butternut Squash Soup,45m,4.96,2048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 tablespoons extra-virgin olive oil; 1 large  yellow onion (chopped); ½ teaspoon sea salt; 1  (3-pound) butternut squash (peeled, seeded, and cubed); 3  garlic cloves (chopped); 1 tablespoon chopped fresh sage; ½ tablespoon minced fresh rosemary; 1 teaspoon grated fresh ginger; 3 to 4 cups vegetable broth; Freshly ground black pepper; Chopped parsley; Toasted pepitas; Crusty bread"
www.loveandlemons.com/homemade-pasta-recipe/,Homemade Pasta,62m,4.94,1506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2 cups all-purpose flour (spooned &amp; leveled); 3  large eggs; ½ teaspoon sea salt; ½ tablespoon extra-virgin olive oil
www.recipetineats.com/ceviche/#wprm-recipe-container-50938,Ceviche,5m,4.99,703,188,12,2,2,2,64,295,6,15,"400g / 14 oz  kingfish, tuna, sea bass or other sashimi-grade fish suitable for raw eating ( (Note 1)); 1/4  red onion (, very finely sliced using mandolin (so it &quot;flops&quot;)); 2 tsp fresh jalapeño (, finely chopped (or green chilli) - add more or less for spiciness); 8  cherry tomatoes (, halved (large ones quartered)); 1/4 tsp black pepper; 1/3 cup lime juice (, fresh (or lemon juice)); 1/2 tsp salt (, cooking / kosher (or 1/4 tsp table salt, Note 2)); 1  avocado (, ripe, cut into 1.25cm / 1/2"" cubes); 1/4 cup coriander/cilantro leaves (, roughly chopped (sub chives)); 2 tbsp extra virgin olive oil ((Note 3))"
cookieandkate.com/thai-red-curry-recipe/,Thai Red Curry with Vegetables,40m,4.9,1254,340,11.3,8,9.3,5.6,0,473.3,56.3,8.3,"1 ¼ cups brown jasmine rice or long-grain brown rice, rinsed; 1 tablespoon coconut oil or olive oil; 1 small white onion, chopped (about 1 cup); Pinch of salt, more to taste; 1 tablespoon finely grated fresh ginger (about a 1-inch nub of ginger); 2 cloves garlic, pressed or minced; 1 red bell pepper, sliced into thin 2-inch long strips; 1 yellow, orange or green bell pepper, sliced into thin 2-inch long strips; 3 carrots, peeled and sliced on the diagonal into ¼-inch thick rounds (about 1 cup); 2 tablespoons Thai red curry paste*; 1 can (14 ounces) regular coconut milk**; &frac12; cup water; 1 &frac12; cups packed thinly sliced kale (tough ribs removed first), preferably the Tuscan/lacinato/dinosaur variety; 1 &frac12; teaspoons coconut sugar or turbinado (raw) sugar or brown sugar; 1 tablespoon tamari or soy sauce***; 2 teaspoons rice vinegar or fresh lime juice; Garnishes/sides: handful of chopped fresh basil or cilantro, optional red pepper flakes, optional sriracha or chili garlic sauce"
www.loveandlemons.com/minestrone-soup/,Minestrone Soup,30m,4.96,658,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2 tablespoons extra-virgin olive oil; 1  medium yellow onion (diced); 2  medium carrots (chopped); 2  celery ribs (thinly sliced); 1 teaspoon sea salt (plus more to taste); Freshly ground black pepper; 3  garlic cloves (grated); 1  (28-ounce) can diced tomatoes; 1½ cups cooked white beans or kidney beans (drained and rinsed); 1 cup chopped green beans; 4 cups vegetable broth; 2  bay leaves; 1 teaspoon dried oregano; 1 teaspoon dried thyme; ¾ cup small pasta; ½ cup chopped fresh parsley; Red pepper flakes; Grated Parmesan cheese (optional, for serving)"
www.loveandlemons.com/best-lentil-soup/,Best Lentil Soup,60m,4.95,714,264,8,1,8,15,N/A,2349,38,12,"2 tablespoons extra-virgin olive oil; 1  medium yellow onion (chopped); 4  medium carrots (chopped (2 cups)); 2  celery stalks (chopped); 6 small or 3 large  kale leaves (stems finely diced, leaves chopped (8 cups)); Heaping  ½ teaspoon ground cumin; 1½ teaspoons sea salt; Freshly ground black pepper; 4  garlic cloves (grated); 1 (14-ounce) can fire-roasted diced tomatoes; ¾ cup dry green lentils (rinsed); 2 tablespoons white wine vinegar; 12  fresh thyme sprigs (bundled); 6 cups vegetable broth; ½ cup chopped fresh parsley (for garnish); Red pepper flakes; Grated Parmesan cheese (for serving, optional)"
www.loveandlemons.com/pasta-salad/,Easy Pasta Salad,30m,4.96,596,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3 cups uncooked fusilli pasta; 2 heaping cups halved cherry tomatoes; 1½ cups cooked chickpeas (drained and rinsed); 2 cups arugula; 1 cup Persian cucumbers (sliced into thin half moons); 1 cup crumbled feta cheese; 1 cup fresh basil leaves (torn); ½ cup minced fresh parsley; ½ cup chopped fresh mint leaves; ¼ cup toasted pine nuts; ¼ cup extra-virgin olive oil (plus more for drizzling); 3 tablespoons fresh lemon juice; 1 teaspoon Dijon mustard; 3  garlic cloves (minced); 1 teaspoon herbes de Provence or dried Italian seasoning; ¼ teaspoon red pepper flakes; ¾ teaspoon sea salt
www.loveandlemons.com/broccoli-cheddar-soup/,Broccoli Cheddar Soup,35m,4.88,836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4 tablespoons unsalted butter; 1  medium yellow onion (chopped); ½ teaspoon sea salt; Freshly ground black pepper; 3  garlic cloves (chopped); ¼ cup all-purpose flour; 2 cups whole milk or unsweetened almond milk; 2 cups vegetable broth; 3 cups chopped broccoli florets; 1  large carrot (julienned or finely chopped); ½ teaspoon Dijon mustard; 8 ounces shredded cheddar cheese (about 2 heaping cups); Homemade croutons (for serving, optional)"
www.loveandlemons.com/lemon-vinaigrette/,Lemon Vinaigrette,5m,4.97,521,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,¼ cup fresh lemon juice; 1  small garlic clove (grated); 1 teaspoon Dijon mustard; ¼ teaspoon sea salt (more to taste); Freshly ground black pepper; ½ teaspoon honey; ¼ to ⅓ cup extra-virgin olive oil; ½ teaspoon fresh or dried thyme (optional)
